"","your_lowest","last_pile","your_hand_size","other_hand_size","prob_you_lowest"
"749",8,1,5,4,79.3582474226804
"750",8,1,5,5,75.4296066252588
"751",8,2,1,1,93.6
"752",8,2,1,2,88.3
"753",8,2,1,3,82.7
"754",8,2,1,4,75.7
"755",8,2,1,5,73.6
"756",8,2,2,1,93.9039094650206
"757",8,2,2,2,88.2763319672131
"758",8,2,2,3,82.750916496945
"759",8,2,2,4,77.7160367722166
"760",8,2,2,5,72.7699279093718
"761",8,2,3,1,94.0853582554517
"762",8,2,3,2,88.4939393939394
"763",8,2,3,3,83.1546972860125
"764",8,2,3,4,78.0379812695109
"765",8,2,3,5,73.047653806048
"766",8,2,4,1,94.2317987152034
"767",8,2,4,2,88.7563694267516
"768",8,2,4,3,83.3540740740741
"769",8,2,4,4,78.3517386722866
"770",8,2,4,5,73.9810381355932
"771",8,2,5,1,94.3658695652174
"772",8,2,5,2,88.9531798245614
"773",8,2,5,3,83.6608932461874
"774",8,2,5,4,79.0535869565217
"775",8,2,5,5,73.991926803014
"776",8,3,1,1,94.3
"777",8,3,1,2,86.4
"778",8,3,1,3,80.2
"779",8,3,1,4,77.5
"780",8,3,1,5,74.8
"781",8,3,2,1,93.9442268041237
"782",8,3,2,2,88.2197518097208
"783",8,3,2,3,82.6802277432712
"784",8,3,2,4,77.3737226277372
"785",8,3,2,5,72.7131416837782
"786",8,3,3,1,94.0195721925134
"787",8,3,3,2,88.2428723404255
"788",8,3,3,3,83.0463336875664
"789",8,3,3,4,77.7568983957219
"790",8,3,3,5,73.2851654215582
"791",8,3,4,1,94.1084061135371
"792",8,3,4,2,88.5241830065359
"793",8,3,4,3,83.1437567861021
"794",8,3,4,4,78.5215300546448
"795",8,3,4,5,73.2018338727077
"796",8,3,5,1,94.1430875576037
"797",8,3,5,2,88.5829908675799
"798",8,3,5,3,83.4300448430493
"799",8,3,5,4,78.572933182333
"800",8,3,5,5,73.5860411899314
"801",8,4,1,1,95.2
"802",8,4,1,2,86.9
"803",8,4,1,3,82.1
"804",8,4,1,4,78.4
"805",8,4,1,5,70.2
"806",8,4,2,1,93.9501046025105
"807",8,4,2,2,88.1154574132492
"808",8,4,2,3,82.5919117647059
"809",8,4,2,4,77.5008333333333
"810",8,4,2,5,72.7573958333333
"811",8,4,3,1,93.9198247535597
"812",8,4,3,2,88.2824919441461
"813",8,4,3,3,82.9090217391304
"814",8,4,3,4,77.5231359649123
"815",8,4,3,5,72.4783783783784
"816",8,4,4,1,93.9463087248322
"817",8,4,4,2,88.3227171492205
"818",8,4,4,3,82.8355530474041
"819",8,4,4,4,77.8304446978335
"820",8,4,4,5,72.7611303344867
"821",8,4,5,1,94.0116745283019
"822",8,4,5,2,88.4654734411085
"823",8,4,5,3,82.8490588235294
"824",8,4,5,4,77.584222737819
"825",8,4,5,5,72.9940628637951
"826",8,5,1,1,94.7
"827",8,5,1,2,89.2
"828",8,5,1,3,83.8
"829",8,5,1,4,76.1
"830",8,5,1,5,71.8
"831",8,5,2,1,93.8761006289308
"832",8,5,2,2,88.166065747614
"833",8,5,2,3,82.6050420168067
"834",8,5,2,4,77.3603157894737
"835",8,5,2,5,72.5695420660277
"836",8,5,3,1,93.8541484716157
